여행ID,TRIP_ID,출발방문지ID,도착방문지ID,출발시간,도착시간,이동방법코드1,이동방법코드2
d_d001579,2210020004,,2210020004,,2022/10/02 12:00,2,
d_d006926,2210290003,,2210290003,,2022/10/29 13:00,1,1
d_d010098,2210310005,,2210310005,,2022/10/31 16:30,2,
d_d002259,2210200002,,2210200002,,2022/10/20 15:00,9,12
d_d001883,2210020005,,2210020005,,2022/10/02 5:30,13,
d_d006195,2210200003,,2210200003,,2022/10/20 1:30,13,
d_d002481,2210090005,,2210090005,,2022/10/09 13:30,2,
d_d000870,2208300007,,2208300007,,2022/08/30 14:30,2,
d_d006189,2210280011,,2210280011,,2022/10/28 15:00,2,
c_c000059,2208060001,,2208060001,,2022/08/06 17:30,1,1
d_d002408,2210170001,,2210170001,,2022/10/17 7:30,15,
d_d000469,2208210004,,2208210004,,2022/08/21 15:00,10,
d_d011394,2211060004,,2211060004,,2022/11/06 18:00,2,
