여행ID,숙소명,숙박경비순번,숙소유형코드,예약여부,체크인시간,체크아웃시간,소비인원,사업자등록번호,상호명,도로명주소,지번주소,도로명코드,지번코드,결제일식,결제방식,결제금액,소비내역
d_d006863,통나무파크,0,3,Y,2022/10/23 0:00,2022/10/24 0:00,1,,,제주특별자치도 제주시 애월읍 도치돌길 293,제주특별자치도 제주시 애월읍 납읍리 102,,,,,0,
d_d003050,랜딩관 제주신화월드호텔앤리조트,1,1,Y,2022/10/06 0:00,2022/10/08 0:00,3,1938700341,주식회사플레이스토리,서울 강남구 언주로 415,서울 강남구 역삼동 721-37,3005086,1168010100,2022/08/24 20:45,1,399000,제주신화월드2박 올인클루시브 패키지(랜딩관/신화관)
d_d000776,제주웨스턴그레이스 강정점,0,1,Y,2022/09/01 0:00,2022/09/03 0:00,2,,,제주특별자치도 서귀포시 김정문화로27번길 9-7,제주특별자치도 서귀포시 강정동 173-1,,,,4,129920,
d_d000416,스타즈호텔 제주 로베로,10,1,,,,2,,스타즈호텔 제주 로베로,제주특별자치도 제주시 관덕로 26,제주특별자치도 제주시 삼도이동 57-2,3349016,5011010600,2022/08/27 8:22,1,42900,호텔비
d_d004464,베스트웨스턴 제주,0,1,Y,2022/10/15 0:00,2022/10/16 0:00,2,,,노형동 1295-16,,,,,1,99000,
d_d002288,호텔앨리스&트렁크,1,1,Y,2022/10/11 0:00,2022/10/12 0:00,2,,호텔 앨리스 앤 트렁크,제주특별자치도 제주시 연동12길 4,제주특별자치도 제주시 연동 284-9,4848251,5011013700,2022/10/09 0:00,1,85000,[회원사전용]스탠다드 트윈.기준/최대인원:2명/2명
c_c005613,반디하우스,0,3,Y,2022/11/04 0:00,2022/11/06 0:00,2,,,제주특별자치도 제주시 한경면 청수동4길 106,제주특별자치도 제주시 한경면 청수리 303-1,,,,3,630000,
d_d003456,에코랜드호텔,0,1,Y,2022/10/11 0:00,2022/10/12 0:00,2,,,제주특별자치도 제주시 조천읍 남조로 1982,제주특별자치도 제주시 조천읍 교래리 385-1,,,,1,210000,
d_d001693,미소담민박,1,3,Y,2022/10/01 0:00,2022/10/03 0:00,4,,AIRBNB,,,,,2022/10/01 16:00,1,277270,제주 미소담 펜션
b_b002597,모텔묵다,1,2,Y,2022/08/27 0:00,2022/08/28 0:00,1,1018190575,(주)현대이지웰,서울 서대문구 충정로 23,서울 서대문구 충정로3가 470,3112011,1141010200,2022/08/20 0:00,1,35000,"통영묵다;한실B,기준/최대인원:1명/1명,"
d_d002028,꼬뜨도르호텔,1,1,Y,2022/10/22 0:00,2022/10/23 0:00,1,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022/10/04 0:01,1,47000,꼬뜨도르 호텔제주
d_d000196,메르블루호텔,0,1,Y,2022/08/22 0:00,2022/08/25 0:00,1,,,제주특별자치도 제주시 서해안로 368,제주특별자치도 제주시 도두이동 680,,,,1,409920,
d_d001665,중문운정이네,10,11,,,,6,5300100100,중문운정이네,제주특별자치도 서귀포시 중산간서로 726,제주특별자치도 서귀포시 중문동 1239-5,3349239,5013011200,2022/10/02 11:46,3,257450,숙박비
d_d000827,선경오피스텔,0,11,Y,2022/08/20 0:00,2022/08/21 0:00,1,,,제주특별자치도 서귀포시 중정로 123,제주특별자치도 서귀포시 서귀동 251-1,,,,,0,
d_d009294,위드유펜션,2,3,Y,2022/11/03 0:00,2022/11/04 0:00,2,,제주 위드유 펜션,제주특별자치도 제주시 애월읍 곽납로 38,제주특별자치도 제주시 애월읍 곽지리 838,3349014,5011025337,2022/10/08 16:15,1,180000,펜션비
d_d000328,빌라노이제주,1,3,Y,2022/09/02 0:00,2022/09/04 0:00,2,2208183676,㈜이베이코리아,서울 강남구 테헤란로 152,서울 강남구 역삼동 737,3122010,1168010100,2022/07/20 0:00,1,372500,빌라노이제주 펜션 숙박비
d_d001811,블랑드오조,0,8,Y,2022/10/09 0:00,2022/10/10 0:00,2,,,제주특별자치도 서귀포시 성산읍 오조로80번길 18,제주특별자치도 서귀포시 성산읍 오조리 231,,,,1,87161,
d_d007548,르페도라펜션,0,3,Y,2022/10/29 0:00,2022/10/31 0:00,1,,,제주특별자치도 서귀포시 남원읍 신례중앙로 6,,,,,1,175500,
b_b002113,호텔본,0,1,Y,2022/08/21 0:00,2022/08/21 0:00,2,,,경남 통영시 광도면 죽림5로 25-53,경남 통영시 광도면 죽림리 1571-37,,,,1,28000,
b_b003797,남해라운지32,0,4,Y,2022/09/24 0:00,2022/09/25 0:00,4,,,경남 남해군 남면 남서대로 539,경남 남해군 남면 당항리 32,,,,4,123200,
d_d006661,물고기나무 게스트하우스,0,7,Y,2022/10/29 0:00,2022/10/30 0:00,2,,,제주특별자치도 서귀포시 성산읍 중산간동로 4204-14,제주특별자치도 서귀포시 성산읍 삼달리 1037,,,,,0,
d_d000105,히든클리프호텔&네이쳐,0,1,Y,2022/08/22 0:00,2022/08/23 0:00,1,,,제주특별자치도 서귀포시 예래해안로 542,제주특별자치도 서귀포시 상예동 625,,,,1,298000,
a_a004572,여흥도시계 펜션,0,3,Y,2022/09/29 0:00,2022/09/30 0:00,3,,,인천 옹진군 영흥면 영흥북로 321-50,인천 옹진군 영흥면 내리 622-7,,,,,0,
d_d001207,김군빌리지게스트하우스,0,7,Y,2022/09/14 0:00,2022/09/15 0:00,1,,,제주특별자치도 제주시 어영길 1-1,,,,,4,25000,
c_c003064,헤이븐호텔,0,1,Y,2022/09/23 0:00,2022/09/25 0:00,2,,,전남 여수시 돌산읍 진두해안길 131,전남 여수시 돌산읍 우두리 757,,,,1,315885,
d_d010344,퓨어스테이오션,1,1,Y,2022/11/03 0:00,2022/11/04 0:00,2,2208742885,(주)야놀자,,,,,2022/10/28 20:12,3,59900,제주 퓨어스테이 오션(공항)
d_d000870,솔펜션,0,3,Y,2022/08/29 0:00,2022/08/31 0:00,3,,,제주특별자치도 제주시 구좌읍 해맞이해안로 2478,제주특별자치도 제주시 구좌읍 종달리 722,,,,1,207000,
a_a001424,연화문호텔,0,1,Y,2022/09/06 0:00,2022/09/07 0:00,1,,,인천 중구 용유서로304번길 12,인천 중구 을왕동 749,,,,1,148000,
d_d004710,제주디아일랜드블루호텔,1,1,Y,2022/10/24 0:00,2022/10/25 0:00,2,1208705713,세안에이앤에이주식회사,서울 송파구 송이로30길 13,서울 송파구 문정동 107-2,4169312,1171010800,2022/10/13 9:49,1,61555,아일랜드더블
d_d000583,메종글래드제주,0,1,Y,2022/08/30 0:00,2022/08/31 0:00,2,,,제주특별자치도 제주시 노연로 80,제주특별자치도 제주시 연동 263-15,,,,1,191400,
d_d008024,제주휴펜션,1,11,Y,2022/10/29 0:00,2022/10/30 0:00,2,,에어비앤비,,,,,2022/10/25 0:00,1,53143,집/아파트 전체.침대 1개.게스트 2명
d_d002375,메종글래드제주,10,1,,,,1,6168101370,글래드호텔앤리조트(주),제주특별자치도 제주시 노연로 80,제주특별자치도 제주시 연동 263-15,3349041,5011013700,2022/10/26 16:15,1,178000,호텔비
d_d007816,활엽수게스트하우스,0,7,Y,2022/10/27 0:00,2022/10/28 0:00,1,,,제주특별자치도 서귀포시 대정읍 상모대서로20번길 44,제주특별자치도 서귀포시 대정읍 상모리 3134-2,,,,2,50000,
d_d002845,스타즈호텔 제주로베로,1,1,Y,2022/10/12 0:00,2022/10/13 0:00,2,7788600179,(주)트립비토즈,서울 마포구 백범로31길 21,,4139241,1144010200,2022/09/14 21:37,1,48450,스타즈호텔 제주로베로
d_d000660,호랑이주택,0,7,Y,2022/09/02 0:00,2022/09/04 0:00,1,,,제주특별자치도 제주시 한림읍 명랑남길 17,제주특별자치도 제주시 한림읍 한림리 546-1,,,,4,50000,
d_d009371,롯데호텔제주,10,1,,,,2,6168510620,롯데호텔제주,제주특별자치도 서귀포시 중문관광로72번길 35,제주특별자치도 서귀포시 색달동 2812-4,4850763,5013011900,2022/10/29 17:53,1,140000,호텔비
d_d005001,제주금강산콘도,0,4,Y,2022/10/09 0:00,2022/10/10 0:00,4,,,제주특별자치도 제주시 한림읍 협재로 210-18,제주특별자치도 제주시 한림읍 협재리 929-1,,,,1,72178,
d_d002456,팜파스호텔 제주,2,1,Y,2022/10/17 0:00,2022/10/18 0:00,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022/10/10 10:42,1,57150,팜파스호텔 제주
d_d006300,다인오세아노호텔,1,1,Y,2022/10/22 0:00,2022/10/24 0:00,2,2208115770,나이스정보통신㈜,,,,,,1,364916,객실1개*2박
d_d001059,미친게스트하우스,10,7,,,,1,,미친게스트하우스,,,,,,4,,숙박비
d_d000770,언니네시골집,0,11,Y,2022/08/28 0:00,2022/08/30 0:00,1,,,제주특별자치도 제주시 한경면 용수3길 38,제주특별자치도 제주시 한경면 용수리 4143-1,,,,5,60000,
d_d002134,노블피아,0,1,Y,2022/10/13 0:00,2022/10/14 0:00,4,,,제주특별자치도 서귀포시 명동로 46,,,,,1,144000,
d_d009831,호텔탑아일랜드,0,1,Y,2022/11/01 0:00,2022/11/02 0:00,1,,,제주특별자치도 제주시 용남1길 47,제주특별자치도 제주시 용담일동 264-5,,,,5,42000,
d_d002005,더오젠호텔,0,1,N,2022/10/03 0:00,2022/10/04 0:00,2,,,제주특별자치도 제주시 동광로23길 3,제주특별자치도 제주시 일도이동 323-4,,,,1,60000,
d_d001361,이스턴호텔 제주,1,1,Y,2022/09/24 0:00,2022/09/26 0:00,2,,NS홈쇼핑,,,,,2022/08/25 0:00,1,71620,이스턴호텔제주2박숙박이용권
d_d000355,게으른소나기,0,7,Y,2022/08/20 0:00,2022/08/23 0:00,1,,,제주특별자치도 제주시 구좌읍 계룡길 45-6,제주특별자치도 제주시 구좌읍 한동리 1287-4,,,,5,150000,
d_d006064,엠스테이호텔 제주,1,1,Y,2022/10/22 0:00,2022/10/23 0:00,2,,제주 엠스테이,제주특별자치도 서귀포시 태평로353번길 14,,4850953,5013010100,2022/10/17 22:48,,0,
d_d000244,월정리썬시티 게스트하우스,1,7,Y,2022/08/20 0:00,2022/08/21 0:00,2,5010754634,제주도게스크하우스파티월정리썬시티,제주특별자치도 제주시 구좌읍 월정5길 33,,4848562,5011025626,2022/07/05 20:49,1,70000,더블룸(1~2인 단독사용)
