방문자ID,여행ID,진행순서,방문지명,방문시작일자,방문종료일자,도로명주소,지번주소,X좌표,Y좌표,도로명코드,지번코드,POI_ID,POI_NM,체류시간,방문자유형코드,재방문여부,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,만족도,재방문의향,추천의향,시군구코드
2210260002,d_d003649,17,소라횟집,2022-10-26,2022-10-26,제주특별자치도 제주시 구좌읍 해맞이해안로 1240-3,제주특별자치도 제주시 구좌읍 평대리 515-67,126.8462717,33.53245889,,,,,60,11,N,2,,5,5,5,
2211050001,d_d009350,16,성산일출봉,2022-11-05,2022-11-05,제주특별자치도 서귀포시 성산읍 일출로 284-12,제주특별자치도 서귀포시 성산읍 성산리 78,126.9405375,33.45913497,,,POI01000000EHG9GW,성산일출봉,60,1,Y,4,,4,3,4,
2210070012,d_d002361,43,화성우방아이유쉘메가시티1단지아파트,2022-10-07,2022-10-08,경기 화성시 기배로30번길 7-30,경기 화성시 기안동 935,126.9786321,37.21993508,,,,,30,21,,,,,,,
2210260001,d_d007488,10,제주곶서귀포해물라면,2022-10-26,2022-10-26,제주특별자치도 서귀포시 칠십리로214번길 36,제주특별자치도 서귀포시 동홍동 280-3,126.5732101,33.24486959,,,,,60,11,N,2,,5,5,5,
2210310005,d_d009295,15,모던플레이스,2022-10-31,2022-10-31,제주특별자치도 서귀포시 상예로 262,제주특별자치도 서귀포시 상예동 185-1,126.3947586,33.26792477,,,,,120,24,N,8,3,5,5,5,
2210180001,d_d005567,5,올레길 16코스(고내-광령 올레),2022-10-18,2022-10-18,,제주특별자치도 제주시 애월읍 고내리 1111-2,126.3897956,33.46649759,,,,,90,7,N,1,,5,5,5,
2210050015,d_d002785,16,김포공항,2022-10-05,2022-10-05,,,126.9555823,33.50441997,,,,,30,9,Y,11,,4,4,4,11500
2210140004,d_d005800,12,더마파크 더마카트,2022-10-14,2022-10-14,제주특별자치도 제주시 한림읍 월림7길 155,제주특별자치도 제주시 한림읍 월림리 2365,126.2432576,33.35432841,,,POI01000000BZ1N4Y,라온더마파크,270,5,N,5,,5,5,5,
2210020003,a_a004764,2,강화풍물시장,2022-10-02,2022-10-02,인천 강화군 강화읍 중앙로 17-9,인천 강화군 강화읍 갑곳리 849,126.4929016,37.74172784,,,,,90,4,N,1,,5,5,5,
2211070006,d_d010266,28,우니담,2022-11-07,2022-11-07,제주특별자치도 제주시 애월읍 고내로13길 107,제주특별자치도 제주시 애월읍 고내리 350,126.3484558,33.47249733,,,POI01000000ALH8Q6,HISive,30,11,N,5,,4,4,4,
2208160004,d_d000014,12,바다를본돼지 제주협재판포본점,2022-08-16,2022-08-16,제주특별자치도 제주시 한경면 판포1길 16,제주특별자치도 제주시 한경면 판포리 2881-4,126.1979115,33.36566075,,,POI010000007UPZF0,바다를본돼지,60,11,N,2,,4,4,5,
2211130001,d_d012432,1,집,2022-11-13,2022-11-13,,,,,,,POI01000000BZ0MA2,노형e-편한세상,,21,,,,,,,50110
2210050001,d_d002378,12,사려니숲길,2022-10-05,2022-10-05,,제주특별자치도 제주시 조천읍 교래리 산 137-1,126.6264973,33.42203283,,,,,90,1,N,5,,4,2,4,
2208260001,d_d000950,1,집,2022-08-26,2022-08-26,,,,,, ,POI01000000C3YBEY,성지빌라,,21,,,,,,,41271
2210300003,d_d010444,3,제주국제공항,2022-10-30,2022-10-30,제주특별자치도 제주시 공항로 2,제주특별자치도 제주시 용담2동 2002,126.492769,33.50707896,,,,,0,9,Y,7,,5,5,5,
2211040006,d_d009728,31,제주선교100주년기념교회,2022-11-04,2022-11-04,제주특별자치도 서귀포시 1100로 297,제주특별자치도 서귀포시 대포동 167-3,126.4481183,33.27303011,,,POI010000006W5S3Y,제주선교100주년기념교회,0,2,N,9,,4,5,5,
2208240005,d_d000898,4,윤재커피,2022-08-24,2022-08-24,제주특별자치도 제주시 중앙로12길 1,제주특별자치도 제주시 이도1동 1403-2,126.5240185,33.51182631,,,,,30,11,N,9,,4,3,4,
