여행ID,이동수단구분,이용경비구분,이용경비순번,이동수단구분명,소비인원,사업자등록번호,상호명,결제일시,결제방식구분,결제금액,소비내역
d_d001434,1,주차비,11,자가용(승용/승합/트럭 등등),2,,중앙공영주차빌딩,2022/09/15 20:17,1,1000,주차비
d_d006136,2,렌탈비,1,렌터카(승용/승합/버스 등등),4,1138132864,에이제이렌터카㈜,2022/08/19 0:18,1,248100,렌트비
d_d003357,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,30000,
d_d009193,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,40000,
d_d002328,9,교통비,0,항공기,10,,,,,1120000,비행기표
c_c002438,7,교통비,2,KTX/SRT(고속열차),3,3148210024,한국철도공사,2022/09/28 9:43,1,95200,기차표 
d_d001470,1,주차비,14,자가용(승용/승합/트럭 등등),1,6168300278,제주시청,2022/09/21 17:08,1,700,주차비
d_d001994,2,렌탈비,0,렌터카(승용/승합/버스 등등),4,,,,,414000,
d_d001554,10,교통비,2,배/선박,2,6168145193,우도해운(주),2022/09/23 9:16,1,9000,승선권/대인
d_d002213,50,교통비,0,버스 + 지하철,2,,,,,20000,
d_d009389,50,교통비,0,버스 + 지하철,2,,,,,13000,
d_d000494,10,교통비,0,배/선박,4,,,,,114000,
d_d000212,50,교통비,0,버스 + 지하철,2,,,,,24000,
d_d002758,9,교통비,2,항공기,3,6058184518,에어부산 주식회사,2022/10/26 0:00,1,126300,비행기표
d_d006393,9,교통비,1,항공기,2,8258100091,에어서울,2022/09/30 0:00,1,69200,비행기표
d_d000157,50,교통비,0,버스 + 지하철,1,,,,,1250,
d_d006855,2,렌탈비,1,렌터카(승용/승합/버스 등등),2,7398800561,디아이브이,2022/10/10 22:17,1,104000,렌트비
d_d009090,2,주유비,0,렌터카(승용/승합/버스 등등),2,,,,,40000,
a_a000354,2,렌탈비,1,렌터카(승용/승합/버스 등등),2,,,2022/09/03 12:00,1,110020,렌트비
d_d004458,9,교통비,0,항공기,2,,,,,267800,비행기표
d_d007907,50,교통비,0,버스 + 지하철,1,,,,,8550,
d_d004953,2,렌탈비,3,렌터카(승용/승합/버스 등등),4,6168139880,(주)제주타요렌터카,2022/10/12 13:20,1,20000,
d_d001181,2,주유비,0,렌터카(승용/승합/버스 등등),4,,,,,40000,
d_d002208,9,교통비,0,항공기,4,,,,,917700,비행기표
b_b002702,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,11200,
d_d012236,9,교통비,4,항공기,2,6058184518,에어부산 주식회사,2022/10/22 0:00,1,114500,비행기표
d_d002779,9,교통비,0,항공기,1,,,,,227900,비행기표
d_d004241,4,교통비,0,택시,4,,,,,15000,
d_d002678,9,교통비,1,항공기,1,1048117480,아시아나항공㈜,2022/10/11 18:34,1,61400,비행기표
c_c001762,50,교통비,0,버스 + 지하철,1,,,,,78000,
d_d002349,2,주차비,0,렌터카(승용/승합/버스 등등),3,,,,,0,
a_a009953,1,주유비,11,자가용(승용/승합/트럭 등등),2,1248564888,KH에너지(주)직영오산주유소(과천방향),2022/10/26 19:27,1,60000,주유비
d_d003576,2,주유비,0,렌터카(승용/승합/버스 등등),2,,,,,19532,
